Source,Target 
4,32377 
4,108323 
4,86795 
4,135226 
4,28170 
4,116974 
4,191839 
4,117620 
4,5364 
4,29693 
4,112436 
4,29784 
4,29699 
4,68006 
4,76440 
4,86796 
4,86815 
4,4264 
4,220162 
146,55120 
146,57723 
146,46799 
146,249009 
146,10109 
146,215490 
146,13839 
146,46801 
146,95339 
146,56394 
146,31558 
146,250647 
146,207218 
146,177303 
146,243145 
146,160633 
146,131339 
146,168300 
146,9262 
146,148759 
146,248089 
146,95334 
146,243136 
146,241405 
166,155082 
166,240983 
166,179442 
166,235235 
166,259044 
204,246320 
204,95168 
204,47116 
204,61679 
204,205 
205,204 
205,177701 
205,95168 
205,61686 
205,172533 
396,127588 
396,95194 
396,26086 
396,397 
396,96440 
397,396 
397,8583 
397,95194 
397,26086 
397,96440 
397,76431 
397,403 
397,69844 
403,397 
403,55120 
403,95194 
403,3168 
403,26086 
403,208445 
425,128596 
425,255302 
425,63786 
425,5704 
425,149273 
425,214266 
425,6698 
425,228751 
425,214253 
425,193786 
534,108191 
534,45406 
534,240695 
534,90634 
534,1155 
534,240694 
534,10538 
534,159639 
534,135952 
534,191839 
534,28131 
534,93129 
534,256533 
534,148457 
534,223021 
534,548 
534,240708 
534,59217 
534,207148 
534,22107 
534,223034 
534,113719 
534,164078 
548,534 
548,225260 
548,108191 
548,252185 
548,45406 
548,240695 
548,240697 
548,10538 
548,90630 
548,81094 
548,223021 
548,207148 
548,55500 
548,22107 
548,223034 
548,113719 
597,191585 
597,101784 
597,20631 
597,169668 
597,99693 
597,191994 
1153,12580 
1153,211632 
1153,61675 
1153,163092 
1153,102612 
1153,102553 
1153,1156 
1153,122616 
1153,44826 
1154,12580 
1154,113875 
1154,66223 
1154,38080 
1154,29409 
1154,11311 
1154,216152 
1154,102153 
1154,153786 
1154,235235 
1154,156820 
1155,97424 
1155,1153 
1155,90635 
1155,213634 
1155,233595 
1155,127754 
1155,85937 
1155,211633 
1155,1200 
1155,134763 
1155,19858 
1156,191585 
1156,1155 
1161,42168 
1200,1155 
1200,12580 
1200,4799 
1200,34719 
1200,104555 
1200,102612 
1200,51143 
1200,87592 
1200,102553 
1200,87597 
1200,87594 
1200,24225 
1200,33283 
1200,1161 
1330,159304 
1330,184070 
1330,12622 
1364,22099 
1364,122326 
1364,87591 
1364,25228 
1364,120435 
1400,246320 
1400,61363 
1400,245233 
1400,6733 
1400,1408 
1408,245233 
1567,122206 
1567,108191 
1567,11928 
1567,236613 
1567,127305 
1567,127303 
1567,108221 
1567,108323 
1567,122334 
1567,65844 
1567,35348 
1567,156453 
1567,157863 
1567,28303 
1567,111758 
1567,122340 
1567,35329 
1567,127325 
1567,210581 
1567,127320 
1567,136065 
1567,210493 
1567,127311 
1567,139465 
1567,156385 
1567,55505 
1567,102849 
1567,199509 
1567,210489 
1567,172187 
1568,142190 
1568,76429 
1568,37627 
1686,17381 
1702,107746 
1702,116974 
1702,76430 
1702,6604 
1702,76431 
1702,124482 
1830,62013 
1830,58498 
1830,184617 
1830,78207 
1830,129183 
1843,174658 
1879,218499 
1879,6193 
1879,191592 
1954,251899 
1954,251890 
1954,24139 
1954,229352 
1954,146150 
1954,25206 
2014,91080 
2014,12701 
2014,4807 
2014,10528 
2014,62694 
2018,9413 
2018,113879 
2130,177701 
2130,36497 
2130,31088 
2130,104583 
2130,53144 
2130,246320 
2130,20866 
2130,216156 
2130,94742 
2130,95206 
2130,2131 
2130,196738 
2130,216153 
2130,70786 
2130,48982 
2130,216152 
2130,71505 
2130,17264 
2130,124975 
2130,235245 
2130,10625 
2131,2130 
2131,177701 
2131,36497 
2131,228840 
2131,55120 
2131,31088 
2131,104583 
2131,53144 
2131,8583 
2131,246320 
2131,48727 
2131,20866 
2131,63516 
2131,121095 
2131,15835 
2131,209644 
2131,16209 
2131,166257 
2131,177651 
2131,3168 
2131,15856 
2131,167381 
2131,228842 
2131,62740 
2131,94742 
2131,7657 
2131,82960 
2131,45543 
2131,15836 
2131,15844 
2131,239985 
2131,255302 
2131,63517 
2131,231293 
2131,105726 
2131,25019 
2131,5704 
2131,6604 
2131,79147 
2131,116292 
2131,2133 
2131,62737 
2131,108987 
2131,166259 
2131,63514 
2131,10693 
2131,156227 
2131,14949 
2131,6698 
2131,63512 
2131,166261 
2131,258100 
2131,5784 
2131,166258 
2131,70900 
2131,13132 
2131,73192 
2131,73193 
2133,2131 
2133,128596 
2133,36497 
2133,228840 
2133,55120 
2133,31088 
2133,53144 
2133,8583 
2133,79025 
2133,8584 
2133,246320 
2133,48727 
2133,63516 
2133,101024 
2133,79027 
2133,167381 
2133,228842 
2133,62740 
2133,224472 
2133,143260 
2133,231293 
2133,79033 
2133,79029 
2133,62737 
2133,63514 
2133,253508 
2133,63512 
2133,166261 
2139,31088 
2139,95173 
2139,95188 
2139,175970 
2141,177701 
2141,128596 
2141,55120 
2141,31088 
2141,104583 
2141,8584 
2141,41202 
2141,10862 
2141,9499 
2141,39210 
2145,227969 
2145,166262 
2145,237925 
2145,74822 
2145,61363 
2145,127549 
2145,251013 
2732,251899 
2732,251890 
2732,225260 
2732,154299 
2732,76429 
2732,214355 
2732,174434 
2732,64769 
2733,251899 
2733,169207 
2733,45406 
2733,154299 
2733,28083 
2733,11312 
2733,256529 
2733,256533 
2733,3240 
2733,256549 
2733,28728 
2733,256537 
2733,174669 
2733,124524 
2866,47992 
2880,95179 
2880,53144 
2880,79025 
2880,48727 
2880,20866 
2880,152570 
2880,15844 
2967,122206 
2967,107746 
2967,22102 
3126,229714 
3157,36497 
3157,228840 
3157,227969 
3157,104583 
3157,53144 
3157,8583 
3157,79025 
3157,246320 
3157,48727 
3157,79027 
3157,209644 
3157,186093 
3157,89624 
3157,157171 
3157,88771 
3157,155305 
3157,187205 
3157,237942 
3168,55120 
3168,225260 
3168,63516 
3168,216156 
3168,94742 
3168,7657 
3168,61687 
3168,61686 
3168,247792 
3168,216153 
3168,154695 
3168,108987 
3168,10693 
3168,70900 
3168,6733 
3232,246330 
3240,2733 
3240,251899 
3240,122206 
3240,154299 
3240,251895 
3240,76429 
3240,146971 
3240,256529 
3240,196379 
3240,256113 
3240,196388 
3240,256582 
3240,119175 
3240,256533 
3240,28146 
3240,196419 
3240,256549 
3240,256542 
3240,256548 
3240,256541 
3240,16172 
3240,256547 
3240,256537 
3240,124524 
3240,256545 
3240,256538 
3249,251899 
3249,256529 
3249,256113 
3249,181842 
3249,256582 
3249,157863 
3249,256533 
3249,28146 
3249,97467 
3249,256549 
3249,256548 
3249,121369 
3249,127311 
3249,256531 
3249,181844 
3249,16172 
3249,256547 
3249,147818 
3342,128596 
3342,36497 
3342,227969 
3342,31088 
3342,104583 
3342,8583 
3342,246320 
3342,48727 
3342,95170 
3373,46799 
3373,168639 
3373,103899 
3373,202144 
3373,54519 
3373,62859 
3373,259546 
3373,54526 
3373,161730 
3373,9697 
3373,43234 
3373,160003 
3373,168636 
3373,54539 
3373,86527 
3373,210739 
3373,156123 
3373,41055 
3521,122206 
3521,169207 
3602,185535 
3602,89119 
3602,198966 
3616,225260 
3616,140474 
3616,237562 
3616,76429 
3616,210431 
3616,112732 
3616,87355 
3616,58810 
3616,164778 
3616,55500 
3616,15015 
3616,86326 
3616,210496 
3724,189705 
3792,55335 
3792,7534 
3792,227671 
3792,7509 
3792,227385 
3792,65031 
4124,177701 
4124,128596 
4124,228840 
4124,127588 
4124,55120 
4124,53144 
4124,79025 
4124,8584 
4124,134865 
4124,101024 
4124,79027 
4124,193676 
4124,16209 
4124,74130 
4124,61686 
4124,176242 
4124,105726 
4124,100974 
4124,39946 
4124,79033 
4124,13641 
4124,25327 
4124,6581 
4152,227969 
4152,55120 
4152,48727 
4152,101024 
4152,79027 
4152,165913 
4152,78001 
4152,61281 
4189,36497 
4189,55120 
4189,10377 
4189,101024 
4189,31780 
4189,95182 
4189,187928 
4189,28083 
4189,5726 
4189,100974 
4189,100969 
4189,43459 
4189,73365 
4189,126777 
