Source,Target,Type,Id,Label,timeset,Weight
42,56672,Directed,67543,,,1
42,27509,Directed,67544,,,1
42,46752,Directed,67545,,,1
42,44109,Directed,67546,,,1
42,75845,Directed,67547,,,1
42,87689,Directed,67548,,,1
42,94611,Directed,67549,,,1
42,97198,Directed,67550,,,1
42,71956,Directed,67551,,,1
42,8874,Directed,67552,,,1
42,10455,Directed,67553,,,1
42,13593,Directed,67554,,,1
42,34483,Directed,67555,,,1
42,51294,Directed,67556,,,1
42,5312,Directed,67557,,,1
42,8828,Directed,67558,,,1
42,56706,Directed,67559,,,1
42,53499,Directed,67560,,,1
42,41887,Directed,67561,,,1
42,77939,Directed,67562,,,1
42,19194,Directed,67563,,,1
42,72861,Directed,67564,,,1
73,38198,Directed,67565,,,1
73,78973,Directed,67566,,,1
73,96267,Directed,67567,,,1
73,106498,Directed,67568,,,1
73,93424,Directed,67569,,,1
73,87310,Directed,67570,,,1
73,62900,Directed,67571,,,1
73,12986,Directed,67572,,,1
73,5985,Directed,67573,,,1
73,86914,Directed,67574,,,1
73,2042,Directed,67575,,,1
73,28058,Directed,67576,,,1
73,28566,Directed,67577,,,1
73,101436,Directed,67578,,,1
73,75186,Directed,67579,,,1
73,63603,Directed,67580,,,1
73,64816,Directed,67581,,,1
73,39624,Directed,67582,,,1
73,61734,Directed,67583,,,1
73,63769,Directed,67584,,,1
73,30283,Directed,67585,,,1
73,9779,Directed,67586,,,1
73,104047,Directed,67587,,,1
73,48116,Directed,67588,,,1
73,95529,Directed,67589,,,1
73,69186,Directed,67590,,,1
73,42060,Directed,67591,,,1
73,81222,Directed,67592,,,1
73,7457,Directed,67593,,,1
73,54034,Directed,67594,,,1
73,72629,Directed,67595,,,1
73,89902,Directed,67596,,,1
73,47488,Directed,67597,,,1
73,30726,Directed,67598,,,1
73,14087,Directed,67599,,,1
73,84374,Directed,67600,,,1
73,39900,Directed,67601,,,1
73,32683,Directed,67602,,,1
78,48949,Directed,67603,,,1
78,64865,Directed,67604,,,1
78,2042,Directed,67605,,,1
78,69504,Directed,67606,,,1
78,82021,Directed,67607,,,1
78,31437,Directed,67608,,,1
78,26233,Directed,67609,,,1
78,106791,Directed,67610,,,1
78,765,Directed,67611,,,1
99,19996,Directed,67612,,,1
99,34473,Directed,67613,,,1
99,27298,Directed,67614,,,1
99,59964,Directed,67615,,,1
99,93091,Directed,67616,,,1
99,102839,Directed,67617,,,1
99,69369,Directed,67618,,,1
99,32683,Directed,67619,,,1
99,65601,Directed,67620,,,1
99,53273,Directed,67621,,,1
99,44127,Directed,67622,,,1
99,69437,Directed,67623,,,1
99,3370,Directed,67624,,,1
99,51779,Directed,67625,,,1
99,93972,Directed,67626,,,1
99,89219,Directed,67627,,,1
99,89115,Directed,67628,,,1
99,1591,Directed,67629,,,1
99,79306,Directed,67630,,,1
99,69186,Directed,67631,,,1
99,108229,Directed,67632,,,1
99,90901,Directed,67633,,,1
99,48887,Directed,67634,,,1
99,106538,Directed,67635,,,1
99,98497,Directed,67636,,,1
99,54080,Directed,67637,,,1
99,61992,Directed,67638,,,1
99,60287,Directed,67639,,,1
99,45227,Directed,67640,,,1
99,82704,Directed,67641,,,1
112,15759,Directed,67642,,,1
112,36631,Directed,67643,,,1
112,69708,Directed,67644,,,1
112,74952,Directed,67645,,,1
112,36565,Directed,67646,,,1
112,64480,Directed,67647,,,1
112,4488,Directed,67648,,,1
112,1462,Directed,67649,,,1
112,75824,Directed,67650,,,1
120,73570,Directed,67651,,,1
120,77088,Directed,67652,,,1
120,106510,Directed,67653,,,1
120,25834,Directed,67654,,,1
120,74854,Directed,67655,,,1
120,56972,Directed,67656,,,1
120,75824,Directed,67657,,,1
120,4656,Directed,67658,,,1
120,32168,Directed,67659,,,1
120,592,Directed,67660,,,1
156,69412,Directed,67661,,,1
156,38135,Directed,67662,,,1
156,31107,Directed,67663,,,1
156,70977,Directed,67664,,,1
156,71157,Directed,67665,,,1
156,58429,Directed,67666,,,1
165,36646,Directed,67667,,,1
165,32152,Directed,67668,,,1
165,65321,Directed,67669,,,1
165,19532,Directed,67670,,,1
165,108151,Directed,67671,,,1
165,20002,Directed,67672,,,1
165,72038,Directed,67673,,,1
165,5750,Directed,67674,,,1
196,77244,Directed,67675,,,1
196,20002,Directed,67676,,,1
196,73738,Directed,67677,,,1
196,55048,Directed,67678,,,1
196,6206,Directed,67679,,,1
196,16810,Directed,67680,,,1
196,76495,Directed,67681,,,1
196,31260,Directed,67682,,,1
196,104117,Directed,67683,,,1
196,59434,Directed,67684,,,1
196,107579,Directed,67685,,,1
198,48197,Directed,67686,,,1
198,32651,Directed,67687,,,1
198,4566,Directed,67688,,,1
198,35513,Directed,67689,,,1
198,55780,Directed,67690,,,1
198,96447,Directed,67691,,,1
198,42060,Directed,67692,,,1
198,68204,Directed,67693,,,1
198,15759,Directed,67694,,,1
198,42721,Directed,67695,,,1
198,94090,Directed,67696,,,1
198,40582,Directed,67697,,,1
198,83219,Directed,67698,,,1
198,68270,Directed,67699,,,1
198,42996,Directed,67700,,,1
198,4049,Directed,67701,,,1
198,74854,Directed,67702,,,1
198,44034,Directed,67703,,,1
198,92468,Directed,67704,,,1
198,89976,Directed,67705,,,1
198,27762,Directed,67706,,,1
198,8871,Directed,67707,,,1
198,60887,Directed,67708,,,1
198,10793,Directed,67709,,,1
198,1841,Directed,67710,,,1
198,33508,Directed,67711,,,1
210,46929,Directed,67712,,,1
210,97198,Directed,67713,,,1
210,30682,Directed,67714,,,1
210,38314,Directed,67715,,,1
228,50797,Directed,67716,,,1
228,50861,Directed,67717,,,1
228,84578,Directed,67718,,,1
228,93928,Directed,67719,,,1
228,17231,Directed,67720,,,1
305,28124,Directed,67721,,,1
305,39860,Directed,67722,,,1
305,12886,Directed,67723,,,1
305,92556,Directed,67724,,,1
305,108338,Directed,67725,,,1
305,42361,Directed,67726,,,1
305,69437,Directed,67727,,,1
305,70977,Directed,67728,,,1
305,101740,Directed,67729,,,1
305,14146,Directed,67730,,,1
305,96495,Directed,67731,,,1
305,104565,Directed,67732,,,1
305,96132,Directed,67733,,,1
305,105697,Directed,67734,,,1
305,98497,Directed,67735,,,1
321,58827,Directed,67736,,,1
321,59964,Directed,67737,,,1
321,87310,Directed,67738,,,1
321,34473,Directed,67739,,,1
321,89686,Directed,67740,,,1
321,58279,Directed,67741,,,1
321,78131,Directed,67742,,,1
321,22406,Directed,67743,,,1
321,29097,Directed,67744,,,1
321,65601,Directed,67745,,,1
321,31117,Directed,67746,,,1
321,36507,Directed,67747,,,1
321,86344,Directed,67748,,,1
321,98971,Directed,67749,,,1
321,17774,Directed,67750,,,1
